user_id,successful,p_converted,p_cvr,event_count,country,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
f14fe9f9f49bea13b7deef924ff5e6b6d96b3f91d8dab2e26373fd283b43bae2,0,1,0.9658752012659604,9,United States,1,0,0,0,0,1.6068125,2.431,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,4,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2
ae2c4290aa8e903b38db6762a6102d13407d3fa498bb0daaa391c6862cd34b82,0,1,0.964805331337348,18,Indonesia,0,0,0,0,0,1.6068125,2.431,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,7,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,6,2
f9014bbfbcdf4b44a4def3e9ac3e50b75da3808e0295c5fa5eab8ab8fcb2d762,1,1,0.9644378428870607,12,United States,1,0,0,0,0,1.6068125,2.431,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0
6080c9124d672535462a90918817610f7e78b0b62c89d407bab9283bfd90d40f,0,1,0.9575321120924,21,United States,1,0,0,0,0,1.6068125,2.431,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,9,0,0,11,0,21,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5
16313ee661ba143e4b004e30d43b66052a56d45753018749dcc54f6eff86919b,0,1,0.9536708865203483,20,,0,0,0,0,0,1.6068125,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
22407a9184ec843c319acc4ad9f40274326e3a457406ad13d264fa7cf3dd797f,0,1,0.9536708865203483,56,,0,0,0,0,0,1.6068125,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
c28faa96d28b67b6481ede20eab29fe5d6e9b4b16d944cabf01fb44e385bf3fe,0,1,0.9536708865203483,17,,0,0,0,0,0,1.6068125,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
a59367a751c1b7ab3f650d27576aa0036f76cb3ef2a60b2d32b06ac82e41ae38,0,1,0.9536708865203483,17,,0,0,0,0,0,1.6068125,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0f04c06e779f250804c172c6d810493a438cb03bb7b69adf19256d2c31147740,0,1,0.9536708865203483,18,,0,0,0,0,0,1.6068125,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
7f25d60342716d658b5d58fca400e356cc7aaebfd8f6f7862456c034fcf0c16a,0,1,0.9536708865203483,23,,0,0,0,0,0,1.6068125,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
